Date,WaterLevel
30/06/2018,24.18
30/06/2018,24.23
30/06/2018,23.93
30/06/2018,24.23
30/06/2018,24.23
30/06/2018,24.23
30/06/2018,24.56
30/06/2018,24.97
30/06/2018,24.78
30/06/2018,25
30/06/2018,24.96
30/06/2018,24.61
30/06/2018,24.91
30/06/2018,25.01
30/06/2018,25.17
30/06/2018,24.97
30/06/2018,24.73
30/06/2018,24.54
01/07/2018,24.57
01/07/2018,24.44
01/07/2018,24.52
01/07/2018,24.52
01/07/2018,24.37
01/07/2018,24.34
01/07/2018,24.24
01/07/2018,24.07
01/07/2018,24.06
01/07/2018,24.19
01/07/2018,24.73
01/07/2018,24.31
01/07/2018,24.77
01/07/2018,24.82
01/07/2018,24.78
01/07/2018,24.93
01/07/2018,24.76
01/07/2018,24.92
01/07/2018,25.07
01/07/2018,25.39
01/07/2018,25.29
01/07/2018,25.09
01/07/2018,24.77
01/07/2018,25.05
02/07/2018,24.81
02/07/2018,24.66
02/07/2018,24.62
02/07/2018,24.55
02/07/2018,24.58
02/07/2018,24.38
02/07/2018,24.46
02/07/2018,24.03
02/07/2018,24.13
02/07/2018,24.44
02/07/2018,24.48
02/07/2018,24.38
02/07/2018,24.88
02/07/2018,24.89
02/07/2018,24.92
02/07/2018,25.13
02/07/2018,25.03
02/07/2018,25.2
02/07/2018,25.16
02/07/2018,25.3
02/07/2018,25.21
02/07/2018,24.97
02/07/2018,25.09
02/07/2018,24.63
03/07/2018,24.58
03/07/2018,24.53
03/07/2018,24.53
03/07/2018,24.36
03/07/2018,24.49
03/07/2018,24.57
03/07/2018,24.24
03/07/2018,24.19
03/07/2018,24.45
03/07/2018,25.15
03/07/2018,24.68
03/07/2018,24.88
03/07/2018,24.9
03/07/2018,24.9
03/07/2018,25.08
03/07/2018,25.36
03/07/2018,25.23
03/07/2018,25.23
03/07/2018,25.52
03/07/2018,25.64
03/07/2018,25.28
03/07/2018,25.13
03/07/2018,25.13
03/07/2018,25.27
04/07/2018,25.04
04/07/2018,24.92
04/07/2018,24.74
04/07/2018,24.95
04/07/2018,24.97
04/07/2018,24.7
04/07/2018,24.62
04/07/2018,24.54
04/07/2018,24.73
04/07/2018,24.67
04/07/2018,24.41
04/07/2018,24.54
04/07/2018,24.37
04/07/2018,24.94
04/07/2018,25.12
04/07/2018,25.38
04/07/2018,25.3
04/07/2018,25.18
04/07/2018,25.51
04/07/2018,25.39
04/07/2018,25.81
04/07/2018,25.3
04/07/2018,25.48
04/07/2018,25.38
05/07/2018,25.17
05/07/2018,25.13
05/07/2018,25.28
05/07/2018,25.38
05/07/2018,25.2
05/07/2018,25.03
05/07/2018,25.06
05/07/2018,24.99
05/07/2018,25.2
05/07/2018,25.08
05/07/2018,25.24
05/07/2018,24.95
05/07/2018,24.82
05/07/2018,25.17
05/07/2018,25.28
05/07/2018,25.46
05/07/2018,25.41
05/07/2018,25.71
05/07/2018,25.77
05/07/2018,25.43
05/07/2018,25.34
05/07/2018,25.29
05/07/2018,25.23
05/07/2018,25.47
06/07/2018,25.37
06/07/2018,25.42
06/07/2018,25.21
06/07/2018,25.13
06/07/2018,25.48
06/07/2018,25.27
06/07/2018,25.06
06/07/2018,24.98
06/07/2018,24.64
06/07/2018,24.73
06/07/2018,25.12
06/07/2018,25.05
06/07/2018,25.09
06/07/2018,25.45
06/07/2018,25.44
06/07/2018,25.63
06/07/2018,25.75
06/07/2018,25.87
06/07/2018,25.43
06/07/2018,25.7
06/07/2018,25.38
06/07/2018,25.08
06/07/2018,25.33
06/07/2018,25.21
07/07/2018,25.21
07/07/2018,24.98
07/07/2018,24.91
07/07/2018,25.13
07/07/2018,24.83
07/07/2018,24.9
07/07/2018,24.65
07/07/2018,24.83
07/07/2018,24.35
07/07/2018,24.81
07/07/2018,24.67
07/07/2018,24.76
07/07/2018,25.09
07/07/2018,25.38
07/07/2018,25.23
07/07/2018,25.51
07/07/2018,25.31
07/07/2018,25.78
07/07/2018,25.6
07/07/2018,25.79
07/07/2018,25.37
07/07/2018,25.52
07/07/2018,25.33
07/07/2018,25.18
08/07/2018,25.02
08/07/2018,24.68
08/07/2018,24.49
08/07/2018,24.54
08/07/2018,24.55
08/07/2018,24.34
08/07/2018,24.12
08/07/2018,24.18
08/07/2018,24.13
08/07/2018,24.35
08/07/2018,24.64
08/07/2018,24.77
08/07/2018,25.19
08/07/2018,25.31
08/07/2018,25.56
08/07/2018,25.56
08/07/2018,25.8
08/07/2018,25.76
08/07/2018,25.82
08/07/2018,25.78
08/07/2018,25.48
08/07/2018,25.26
08/07/2018,25.43
08/07/2018,25.34
09/07/2018,25.24
09/07/2018,25.33
09/07/2018,25.18
09/07/2018,25.12
09/07/2018,25.32
09/07/2018,25.02
09/07/2018,25.22
09/07/2018,25.02
09/07/2018,24.93
09/07/2018,25.17
09/07/2018,24.92
09/07/2018,25.29
09/07/2018,25
09/07/2018,25.45
09/07/2018,25.58
09/07/2018,25.83
09/07/2018,25.87
09/07/2018,26.23
09/07/2018,26.33
09/07/2018,25.84
09/07/2018,25.55
09/07/2018,25.63
09/07/2018,25.55
09/07/2018,25.24
10/07/2018,25.54
10/07/2018,25.14
10/07/2018,25.18
10/07/2018,24.81
10/07/2018,24.85
10/07/2018,25.02
10/07/2018,25.03
10/07/2018,24.73
10/07/2018,25.22
10/07/2018,25.35
10/07/2018,25.63
10/07/2018,25.69
10/07/2018,25.98
10/07/2018,25.7
10/07/2018,26.21
10/07/2018,26.05
10/07/2018,25.89
10/07/2018,25.97
10/07/2018,26.43
10/07/2018,26.46
10/07/2018,26.26
10/07/2018,26
10/07/2018,25.8
10/07/2018,25.73
11/07/2018,25.65
11/07/2018,25.25
11/07/2018,25.03
11/07/2018,24.66
11/07/2018,24.91
11/07/2018,24.81
11/07/2018,24.69
11/07/2018,25.05
11/07/2018,24.88
11/07/2018,24.97
11/07/2018,25.52
11/07/2018,26.04
11/07/2018,26.07
11/07/2018,26.39
11/07/2018,25.9
11/07/2018,26.36
11/07/2018,26.02
11/07/2018,26.13
11/07/2018,26.58
11/07/2018,26.39
11/07/2018,26.51
11/07/2018,26.56
11/07/2018,26.31
11/07/2018,25.96
12/07/2018,26.02
12/07/2018,25.75
12/07/2018,25.63
12/07/2018,25.12
12/07/2018,25.07
12/07/2018,24.73
12/07/2018,24.48
12/07/2018,24.64
12/07/2018,24.55
12/07/2018,24.89
12/07/2018,25.41
12/07/2018,25.68
12/07/2018,26.93
12/07/2018,26.38
12/07/2018,26.65
12/07/2018,27.06
12/07/2018,27.13
12/07/2018,27.34
12/07/2018,27.68
12/07/2018,27.76
12/07/2018,27.43
12/07/2018,27.59
12/07/2018,27.51
12/07/2018,27.09
13/07/2018,26.68
13/07/2018,26.68
13/07/2018,26.13
13/07/2018,26.14
13/07/2018,26.01
13/07/2018,25.88
13/07/2018,25.47
13/07/2018,25.33
13/07/2018,25.65
13/07/2018,25.74
13/07/2018,26.21
13/07/2018,26.3
13/07/2018,26.84
13/07/2018,26.52
13/07/2018,26.94
13/07/2018,27.03
13/07/2018,27.15
13/07/2018,27.48
13/07/2018,27.25
13/07/2018,27.03
13/07/2018,26.91
13/07/2018,26.53
13/07/2018,26.53
13/07/2018,26.59
14/07/2018,26.41
14/07/2018,26.44
14/07/2018,26.08
14/07/2018,26.1
14/07/2018,26.11
14/07/2018,25.82
14/07/2018,25.99
14/07/2018,25.78
14/07/2018,25.86
14/07/2018,26.08
14/07/2018,25.87
14/07/2018,26.04
14/07/2018,25.89
14/07/2018,26.32
14/07/2018,26.68
14/07/2018,26.69
14/07/2018,27.09
14/07/2018,26.89
14/07/2018,27.05
14/07/2018,27.08
14/07/2018,26.95
14/07/2018,26.83
14/07/2018,26.61
14/07/2018,26.36
15/07/2018,26.32
15/07/2018,26.19
15/07/2018,26.33
15/07/2018,26.34
15/07/2018,26.09
15/07/2018,26.15
15/07/2018,25.93
15/07/2018,25.85
15/07/2018,25.72
15/07/2018,25.52
15/07/2018,26.16
15/07/2018,26.58
15/07/2018,26.58
15/07/2018,27.22
15/07/2018,27.81
15/07/2018,27.34
15/07/2018,27.43
15/07/2018,27.84
15/07/2018,27.51
15/07/2018,27.85
15/07/2018,27.31
15/07/2018,27.94
15/07/2018,27.41
15/07/2018,26.57
16/07/2018,26.32
16/07/2018,25.93
16/07/2018,25.68
16/07/2018,25.29
16/07/2018,25.13
16/07/2018,24.96
16/07/2018,24.41
16/07/2018,24.58
16/07/2018,24.63
16/07/2018,25.33
16/07/2018,25.89
16/07/2018,26.14
16/07/2018,26.57
16/07/2018,26.84
16/07/2018,27.6
16/07/2018,26.97
16/07/2018,27.07
16/07/2018,27.15
16/07/2018,27.65
16/07/2018,27.53
16/07/2018,27.4
16/07/2018,27.25
16/07/2018,26.95
16/07/2018,27.07
17/07/2018,26.48
17/07/2018,26.38
17/07/2018,26.22
17/07/2018,25.8
17/07/2018,25.63
17/07/2018,25.27
17/07/2018,25.04
17/07/2018,25.17
17/07/2018,25.25
17/07/2018,25.79
17/07/2018,26.39
17/07/2018,26.63
17/07/2018,26.67
17/07/2018,27.49
17/07/2018,27.23
17/07/2018,27.53
17/07/2018,27.76
